Month,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1,89.0,98.0,56.0,7.0,34.7,89.1,34.0,92.0,6.8,37.4,5.0,90.0
2,13.3,67.23,4.98,23.0,45.78,45.0,67.23,0.0,0.0,0.0,-5.0,0.0
3,89.12,9.0,6.0,78.45,98.0,67.0,6.7,0.0,0.0,0.0,0.0,0.0
4,10.0,6.98,12.5,347.0,7.99,7.24,98.25,0.0,0.0,0.0,0.0,0.0
5,167.0,5.99,155.0,9.1,7.99,78.98,45.0,0.0,0.0,0.0,0.0,0.0
6,0.0,3.5,43.25,12.0,12.5,34.6,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,12.2,89.12,12.5,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total,368.42,202.9,366.85,489.05,242.46000000000004,321.92,251.18,92.0,6.8,37.4,0.0,90.0
